Index,X,Y,Z
96,0.0825863629579544,-0.19217102229595184,-0.2998606264591217
97,0.0825863629579544,-0.1945972740650177,-0.3083091080188751
98,0.0825863629579544,-0.19832688570022583,-0.3161638081073761
99,0.0825863629579544,-0.20324184000492096,-0.32339170575141907
100,0.0825863629579544,-0.20922452211380005,-0.3299604058265686
101,0.0825863629579544,-0.21615685522556305,-0.33583682775497437
102,0.0825863629579544,-0.2239212691783905,-0.3409886360168457
103,0.0825863629579544,-0.2323995977640152,-0.34538283944129944
104,0.0825863629579544,-0.24147440493106842,-0.3489868938922882
105,0.0825863629579544,-0.2510274052619934,-0.35176801681518555
106,0.0825863629579544,-0.2609412372112274,-0.35369348526000977
107,0.0825863629579544,-0.2710975706577301,-0.35473066568374634
108,0.0825863629579544,-0.28138187527656555,-0.35485199093818665
109,0.0825863629579544,-0.2917061448097229,-0.35407906770706177
110,0.0825863629579544,-0.30199700593948364,-0.3524593710899353
111,0.0825863629579544,-0.312181293964386,-0.3500407636165619
112,0.0825863629579544,-0.32218581438064575,-0.3468712568283081
113,0.0825863629579544,-0.331937313079834,-0.3429986536502838
114,0.0825863629579544,-0.3413626551628113,-0.3384709358215332
115,0.0825863629579544,-0.3503885865211487,-0.3333359360694885
116,0.0825863629579544,-0.3589419424533844,-0.3276416063308716
117,0.0825863629579544,-0.36694952845573425,-0.32143574953079224
118,0.0825863629579544,-0.3743380904197693,-0.31476646661758423
119,0.0825863629579544,-0.3810344934463501,-0.3076813817024231
120,0.0825863629579544,-0.3869655132293701,-0.3002285659313202
121,0.0825863629579544,-0.3920580744743347,-0.2924558222293854
122,0.0825863629579544,-0.3962702453136444,-0.28440797328948975
123,0.0825863629579544,-0.3996293246746063,-0.276122510433197
124,0.0825863629579544,-0.4021720886230469,-0.2676362693309784
125,0.0825863629579544,-0.4039352536201477,-0.25898584723472595
126,0.0825863629579544,-0.40495556592941284,-0.25020793080329895
127,0.0825863629579544,-0.40526971220970154,-0.24133917689323425
128,0.0825863629579544,-0.4049144983291626,-0.23241636157035828
129,0.0825863629579544,-0.4039266109466553,-0.2234760820865631
130,0.0825863629579544,-0.4023427963256836,-0.2145550549030304
131,0.0825863629579544,-0.4001997709274292,-0.2056899517774582
132,0.0825863629579544,-0.3975343108177185,-0.19691748917102814
133,0.0825863629579544,-0.39438310265541077,-0.1882742941379547
134,0.0825863629579544,-0.3907829225063324,-0.17979711294174194
135,0.0825863629579544,-0.3867725729942322,-0.1715199500322342
136,0.0825863629579544,-0.3824153542518616,-0.16344678401947021
137,0.0825863629579544,-0.37779030203819275,-0.15556184947490692
138,0.0825863629579544,-0.37297672033309937,-0.14784929156303406
139,0.0825863629579544,-0.36805397272109985,-0.14029310643672943
140,0.0825863629579544,-0.3631013035774231,-0.13287733495235443
141,0.0825863629579544,-0.35819804668426514,-0.12558604776859283
142,0.0825863629579544,-0.35342350602149963,-0.11840325593948364
143,0.0825863629579544,-0.34885701537132263,-0.11131302267313004
144,0.0825863629579544,-0.3445778787136078,-0.10429937392473221
145,0.0825863629579544,-0.34066540002822876,-0.09734637290239334
146,0.0825863629579544,-0.3371988832950592,-0.09043804556131363
147,0.0825863629579544,-0.33425766229629517,-0.08355844765901566
148,0.0825863629579544,-0.3319209814071655,-0.07669162005186081
149,0.0825863629579544,-0.33023837208747864,-0.06983023881912231
150,0.0825863629579544,-0.32917919754981995,-0.062990203499794
151,0.0825863629579544,-0.3286994397640228,-0.05619125813245773
152,0.0825863629579544,-0.3287550210952759,-0.04945318028330803
153,0.0825863629579544,-0.32930195331573486,-0.042795728892087936
154,0.0825863629579544,-0.33029621839523315,-0.03623867779970169
155,0.0825863629579544,-0.33169376850128174,-0.029801782220602036
156,0.0825863629579544,-0.333450585603714,-0.02350481227040291
157,0.0825863629579544,-0.3355226218700409,-0.0173675324767828
158,0.0825863629579544,-0.33786582946777344,-0.011409705504775047
159,0.0825863629579544,-0.34043624997138977,-0.005651097744703293
160,0.0825863629579544,-0.3431897759437561,-0.00011154419917147607
161,0.0825863629579544,-0.3460824489593506,0.005189335905015469
162,0.0825863629579544,-0.3490724265575409,0.010232407599687576
163,0.0825863629579544,-0.35215112566947937,0.015009148046374321
164,0.0825863629579544,-0.3553355634212494,0.019519146531820297
165,0.0825863629579544,-0.35864338278770447,0.023762203752994537
166,0.0825863629579544,-0.3620922863483429,0.027738116681575775
167,0.0825863629579544,-0.3656998872756958,0.03144669160246849
168,0.0825863629579544,-0.3694838583469391,0.03488771989941597
169,0.0825863629579544,-0.37346190214157104,0.038061000406742096
170,0.0825863629579544,-0.3776516020298004,0.04096633568406105
171,0.0825863629579544,-0.3820706903934479,0.043603528290987015
172,0.0825863629579544,-0.38673678040504456,0.04597236588597298
173,0.0825863629579544,-0.39166754484176636,0.04807266220450401
174,0.0825863629579544,-0.3968806862831116,0.04990420490503311
175,0.0825863629579544,-0.4023936986923218,0.05146678164601326
176,0.0825863629579544,-0.4081990718841553,0.0527651272714138
177,0.0825863629579544,-0.41420525312423706,0.0538199245929718
178,0.0825863629579544,-0.420303612947464,0.05465511232614517
179,0.0825863629579544,-0.42638593912124634,0.05529472976922989
180,0.0825863629579544,-0.43234384059906006,0.05576275289058685
181,0.0825863629579544,-0.43806880712509155,0.05608314648270607
182,0.0825863629579544,-0.44345220923423767,0.05627989396452904
183,0.0825863629579544,-0.44310617446899414,0.05627015605568886
